,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
275,ELE-PLS13 ,0,0,8,19,0,27,26,
276,IND-PLS13 ,1,2017,16,19,0,30,0,2F-3
277,ELE-PLS13 ,0,2017,14,14,0,31,0,"2F-1,3F-1"
278,ELE-PLS13 ,0,0,9,7,0,16,8,
279,CIV-PLS13 ,1,2017,15,17,0,14,0,2F-2
280,ELE-PLS13 ,0,0,11,9,0,20,26,
281,ELE-PLS13 ,0,0,5,13,0,19,10,
282,IND-PLS13 ,1,2017,7,14,0,30,29,3F-2
283,ELE-PLS13 ,0,2017,13,7,0,20,32,3F-1
284,ELE-PLS13 ,0,0,0,11,0,0,0,
285,ELE-PLS13 ,0,0,7,0,0,0,0,
286,MCT-PLS13 ,0,0,6,0,0,0,0,
287,IND-PLS13 ,0,0,3,5,0,0,0,
288,CIV-PLS13 ,0,0,9,11,0,24,21,
289,IND-PLS13 ,1,2017,15,23,0,0,0,1F-3
290,IND-PLS13 ,0,0,3,14,0,15,10,
291,CIV-PLS13 ,1,2017,13,30,0,0,0,1F-4
292,ELE-PLS13 ,0,0,5,3,0,0,0,
293,CIV-PLS13 ,0,0,7,11,0,10,0,
294,MCT-PLS13 ,0,0,9,3,0,0,0,
295,CIV-PLS13 ,1,2017,19,11,0,0,0,"1F-1,2F-2"
296,ELE-PLS13 ,1,2017,13,23,0,24,50,3F-4
297,IND-PLS13 ,0,0,2,0,0,0,0,
298,CIV-PLS13 ,0,0,8,18,0,19,20,
299,CIV-PLS13 ,0,0,10,9,0,14,16,
300,MCT-PLS13 ,1,2017,12,21,0,0,0,"1F-1,2F-1,3F-3"
301,IND-PLS13 ,0,2017,7,21,0,30,22,3F-1
302,CIV-PLS13 ,1,2017,12,21,0,0,0,1F-2
303,CIV-PLS13 ,1,2017,10,25,0,0,0,1F-3
304,CIV-PLS13 ,0,0,4,12,0,12,4,
305,ELE-PLS13 ,1,2017,16,23,0,0,0,"1F-1,2F-2"
306,ELE-PLS13 ,0,0,3,0,0,0,0,
307,ELE-PLS13 ,0,0,10,10,0,20,6,
308,ELE-PLS13 ,0,0,8,2,0,0,0,
309,CIV-PLS13 ,1,2017,16,14,0,20,38,3F-3
310,CIV-PLS13 ,0,2017,5,24,0,0,0,"1F-1,2F-1"
311,ELE-PLS13 ,0,2017,12,22,0,33,34,3F-1
312,CIV-PLS13 ,0,0,3,7,0,0,0,
313,CIV-PLS13 ,0,2017,12,18,0,23,20,3F-1
314,ELE-PLS13 ,1,2017,9,18,0,30,0,2F-2
315,CIV-PLS13 ,1,2017,14,21,0,46,0,2F-4
316,CIV-PLS13 ,0,0,0,0,0,0,0,
317,ELE-PLS13 ,1,2016,14,11,0,0,0,"1F-1,2F-3"
318,CIV-PLS13 ,0,0,1,3,0,0,0,
319,CIV-PLS13 ,0,0,14,10,0,21,20,
320,ELE-PLS13 ,0,0,12,14,0,0,2,
321,CIV-PLS13 ,0,0,7,15,0,29,26,
322,IND-PLS13 ,0,0,5,16,0,4,10,
323,CIV-PLS13 ,0,0,13,12,0,10,12,
324,CIV-PLS13 ,1,2017,9,21,0,20,20,3F-2
325,CIV-PLS13 ,1,2017,7,16,0,8,30,3F-2
326,MCT-PLS13 ,0,0,7,8,0,15,24,
327,CIV-PLS13 ,1,2017,13,18,0,0,0,"1F-1,2F-2"
328,CIV-PLS13 ,1,2017,14,11,0,28,0,2F-3
329,ELE-PLS13 ,0,2017,10,16,0,16,29,
330,CIV-PLS13 ,1,2017,15,16,0,0,0,"1F-1,2F-3"
331,ELE-PLS13 ,0,2016,8,0,0,0,0,
332,CIV-PLS13 ,1,2017,17,14,0,26,42,3F-3
333,IND-PLS13 ,0,0,6,13,0,10,16,
334,IND-PLS13 ,1,2017,11,21,0,0,0,"1F-1,2F-2"
335,ELE-PLS13 ,0,0,3,12,0,22,14,
336,CIV-PLS13 ,0,2017,9,10,0,25,32,3F-1
337,ELE-PLS13 ,0,2017,15,10,0,21,30,3F-1
338,ELE-PLS13 ,1,2017,8,21,0,27,34,3F-2
339,ELE-PLS13 ,0,0,4,6,0,0,0,
340,ELE-PLS13 ,0,0,0,0,0,0,0,
341,ELE-PLS13 ,1,2017,12,17,0,29,0,2F-2
342,ELE-PLS13 ,0,0,11,13,0,0,0,
343,CIV-PLS13 ,0,2017,5,17,0,25,40,3F-1
344,CIV-PLS13 ,0,0,0,8,0,0,0,
345,MCT-PLS13 ,1,2017,14,8,0,33,0,2F-3
346,IND-PLS13 ,0,0,10,10,0,4,0,
347,ELE-PLS13 ,0,0,7,9,0,28,27,
348,CIV-PLS13 ,0,2017,12,23,0,0,0,"1F-1,2F-1,3F-1"
349,ELE-PLS13 ,0,0,0,0,0,0,0,
350,CIV-PLS13 ,0,0,0,0,0,0,0,
351,ELE-PLS13 ,0,0,5,11,0,16,28,
352,CIV-PLS13 ,0,0,5,0,0,0,0,
353,CIV-PLS13 ,0,0,14,14,0,26,26,
354,CIV-PLS13 ,0,2017,12,3,0,12,28,3F-1
355,CIV-PLS13 ,1,2017,11,15,0,29,0,2F-2
356,MCT-PLS13 ,1,2017,14,13,0,33,0,2F-2
357,IND-PLS13 ,0,0,6,7,0,0,0,
358,CIV-PLS13 ,0,0,8,7,0,20,25,
359,ELE-PLS13 ,0,0,6,9,0,26,24,
360,CIV-PLS13 ,0,0,0,0,0,0,0,
361,MCT-PLS13 ,0,0,10,10,0,12,18,
362,MCT-PLS13 ,1,2017,12,17,0,0,0,1F-2
363,CIV-PLS13 ,0,2017,11,4,0,20,34,3F-1
364,CIV-PLS13 ,0,0,10,9,0,8,20,
365,MCT-PLS13 ,1,2017,19,17,0,0,0,"1F-1,2F-1,3F-3"
366,IND-PLS13 ,0,0,4,16,0,23,6,
367,IND-PLS13 ,0,0,1,15,0,0,2,
368,ELE-PLS13 ,0,2017,8,18,0,26,30,3F-1
369,IND-PLS13 ,0,0,5,11,0,18,14,
370,CIV-PLS13 ,0,0,4,0,0,0,0,
371,MCT-PLS13 ,0,0,9,0,0,0,0,
372,IND-PLS13 ,0,0,6,9,0,4,10,
373,CIV-PLS13 ,0,0,9,10,0,18,20,
374,CIV-PLS13 ,0,0,5,7,0,0,0,
375,IND-PLS13 ,0,0,6,2,0,0,0,
376,ELE-PLS13 ,0,0,13,11,0,28,26,
377,CIV-PLS13 ,1,2017,17,22,0,0,0,1F-3
378,CIV-PLS13 ,0,0,8,9,0,16,4,
379,CIV-PLS13 ,1,2017,21,31,0,0,0,1F-5
380,MCT-PLS13 ,1,2017,8,19,0,30,0,2F-2
381,IND-PLS13 ,0,0,10,18,0,20,14,
382,CIV-PLS13 ,0,0,0,0,0,0,0,
383,CIV-PLS13 ,0,0,4,0,0,0,0,
384,CIV-PLS13 ,0,0,11,16,0,25,22,
385,CIV-PLS13 ,0,2017,9,12,0,14,32,3F-1
386,MEC-PLS13 ,1,2017,11,18,0,16,26,3F-2
387,MEC-PLS13 ,0,0,8,7,0,20,12,
388,MCT-PLS13 ,0,0,4,11,0,15,6,
389,ELE-PLS13 ,0,0,7,15,0,17,16,
390,IND-PLS13 ,0,2016,0,0,0,0,0,3F-1
391,MCT-PLS13 ,1,2017,16,11,0,31,0,2F-2
392,ELE-PLS13 ,0,0,3,15,0,22,20,
393,CIV-PLS13 ,0,0,4,21,0,25,24,
394,ELE-PLS13 ,1,2017,17,21,0,0,0,"1F-1,2F-2"
395,CIV-PLS13 ,0,0,7,19,0,12,16,
396,MCT-PLS13 ,0,0,5,12,0,6,20,
397,IND-PLS13 ,0,0,12,16,0,16,20,
398,CIV-PLS13 ,0,0,5,15,0,20,0,
399,CIV-PLS13 ,0,0,4,11,0,12,10,
400,MCT-PLS13 ,0,0,9,2,0,0,0,
401,CIV-PLS13 ,0,2017,12,21,0,29,0,"2F-1,3F-1"
402,IND-PLS13 ,0,0,12,8,0,0,10,
403,MCT-PLS13 ,0,0,13,11,0,27,18,
404,ELE-PLS13 ,1,2017,11,22,0,0,0,1F-2
405,CIV-PLS13 ,1,2017,14,20,0,0,0,1F-2
406,CIV-PLS13 ,0,0,2,0,0,0,0,
407,ELE-PLS13 ,0,0,5,14,0,6,15,
408,MEC-PLS13 ,0,0,1,1,0,0,0,
409,ELE-PLS13 ,1,2017,14,3,0,12,30,3F-2
410,ELE-PLS13 ,0,0,11,13,0,10,18,
411,ELE-PLS13 ,0,0,5,7,0,0,0,
412,CIV-PLS13 ,0,0,1,11,0,0,0,
413,ELE-PLS13 ,0,2016,13,18,0,17,20,3F-1
414,ELE-PLS13 ,0,0,2,10,0,0,0,
415,ELE-PLS13 ,0,0,12,6,0,0,10,
416,CIV-PLS13 ,0,0,5,7,0,0,0,
417,IND-PLS13 ,1,2017,9,17,0,26,48,3F-4
418,ELE-PLS13 ,0,0,17,8,0,12,18,
419,CIV-PLS13 ,1,2016,7,11,0,0,0,"1F-1,2F-2"
420,MCT-PLS13 ,0,0,5,0,0,0,0,
421,CIV-PLS13 ,0,0,7,11,0,0,0,
422,CIV-PLS13 ,0,0,15,12,0,20,10,
423,MCT-PLS13 ,0,0,4,8,0,0,0,
424,ELE-PLS13 ,0,0,0,20,0,27,12,
425,MEC-PLS13 ,0,0,15,2,0,11,10,
426,CIV-PLS13 ,1,2017,17,15,0,28,0,2F-3
427,CIV-PLS13 ,0,0,3,5,0,0,0,
428,CIV-PLS13 ,1,2016,12,23,0,24,0,2F-3
429,ELE-PLS13 ,0,0,0,0,0,0,0,
430,IND-PLS13 ,0,0,1,1,0,0,0,
431,IND-PLS13 ,1,2017,18,27,0,0,0,1F-3
432,MCT-PLS13 ,1,2017,21,22,0,0,0,1F-3
433,CIV-PLS13 ,1,2017,11,23,0,0,0,1F-2
434,CIV-PLS13 ,0,0,11,1,0,0,0,
435,CIV-PLS13 ,0,2016,0,0,0,0,0,
436,ELE-PLS13 ,0,0,10,10,0,14,11,
437,CIV-PLS13 ,1,2017,9,16,0,21,34,3F-2
438,CIV-PLS13 ,0,2017,13,19,0,24,0,"2F-1,3F-1"
439,IND-PLS13 ,0,2017,15,19,0,18,24,3F-1
440,CIV-PLS13 ,1,2017,11,20,0,0,0,"1F-1,2F-2"
441,ELE-PLS13 ,1,2017,11,17,0,16,42,3F-2
442,ELE-PLS13 ,1,2017,18,25,0,0,0,1F-4
443,CIV-PLS13 ,1,2016,10,25,0,22,0,2F-3
444,CIV-PLS13 ,0,0,3,0,0,0,0,
